token,POS
Je,['PRON']
vais,['VERB']
réussir,['VERB']
mes,['DET']
études,['NOUN']
et,['CCONJ']
le,['DET']
football,['NOUN']
,,['PUNCT']
tant,['ADV']
que,['SCONJ']
je,['PRON']
garde,['VERB']
une,['DET']
balance,['NOUN']
entre,['ADP']
les,['DET']
deux,['PRON']
.,['PUNCT']

,['SPACE']
C',['PRON']
est,['AUX']
vraiment,['ADV']
difficile,['ADJ']
pour,['ADP']
fille,['NOUN']
à,['ADP']
apprendre,['VERB']
jouer,['VERB']
au,['ADP']
j',['PRON']
ai,['AUX']
eu,['VERB']
des,['DET']
malentendus,['NOUN']
qui,['PRON']
viennent,['VERB']
parents,['NOUN']
profs,['ADJ']
etc.,['ADV']
il,['PRON']
y,['PRON']
a,['VERB']
toujours,['ADV']
clichés,['NOUN']
sur,['ADP']
genre,['NOUN']
Mais,['CCONJ']
heureusement,['ADV']
décidé,['VERB']
de,['ADP']
prendre,['VERB']
risque,['NOUN']
commencé,['VERB']
par,['ADP']
cours,['NOUN']
proposé,['VERB']
université,['NOUN']
même,['ADV']
si,['SCONJ']
blessures,['NOUN']
après,['ADP']
chaque,['DET']
me,['PRON']
sens,['VERB']
quand,['SCONJ']
très,['ADV']
contente,['ADJ']
